Inf,Name,UID,Best Pos,Best Role,Best Duty,Pros,Cons,Position,Club,On Loan From,Based,Asking Price,Salary,Expires,Nat,2nd Nat,Home Grown Status,Height,Weight,Preferred Foot,Age,Personality,Media Handling,Transfer Value,Apps,Starts,Mins,Mins/Gm,Av Rat,Yth Gls,Yth Apps,Gls,Gls/90,Shots,ShT,Shot %,Shot/90,ShT/90,Pens,Pens S,Pen/R,Off,xG,CCC,Ch C/90,Ast,Asts/90,K Pas,K Ps/90,Pas A,Ps A/90,Ps C,Ps C/90,Pas %,Cr A,Cr C,Cr C/A,Drb,Goals Outside Box,FK Shots,OP-Cr %,Tck A,Shots Outside Box/90,Shts Blckd/90,Shts Blckd,Pr passes/90,Pr Passes,Pres C/90,Pres C,Pres A/90,Pres A,Poss Won/90,Poss Lost/90,OP-KP/90,OP-KP,OP-Crs C/90,OP-Crs C,OP-Crs A/90,OP-Crs A,Gl Mst,Hdrs L/90,K Tck/90,K Hdrs/90,Sprints/90,xGP/90,Blk,xG/shot,xGP,Clr/90,Blk/90,Conv %,Crs A/90,Cr C/90,Dist/90,Drb/90,FA,Distance,Hdrs A,Aer A/90,Hdrs,Hdrs W/90,Hdr %,K Tck,Tck W,Tck/90,Tck R,Fls,Yel,Red,Itc,Int/90,Clear,Conc,All/90,Shutouts,xSv %,Svh,Svt,Svp,Sv %,Pens Faced,Pens Saved,Pens Saved Ratio,PoM,AT Apps,Saves/90,Tgls/90,Tcon/90,Tall,Tgls,Pts/Gm,NP-xG/90,NP-xG,Last Gl,Last C,Last 5 Games,Last 5 FT Games,Int Conc,Int Av Rat,Int Ast,Int Apps,Won,G. Mis,Lost,D,Gwin,xG/90,xG-OP,xA/90,xA,Cln/90,Mins/Gl,AT Lge Gls,AT Lge Apps,AT Gls,Wor,Vis,Thr,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pun,Pos,Pen,Pas,Pac,1v1,OtB,Nat,Mar,L Th,Lon,Ldr,Kic,Jum,Hea,Han,Fre,Fla,Fir,Fin,Ecc,Dri,Det,Dec,Cro,Cor,Cnt,Cmp,Com,Cmd,Bra,Bal,Ant,Agi,Agg,Aer,Acc,decimal_height,decimal_weight
Ama,Nii Armah Ashitey,2000074673,M (C),Ball Winning Midfielder,Defend,Speed,Unknown,"DM, M (C)",FC Motown,,U.S.A. (USL2 Atlantic Division),-,N/A,,GHA,USA,-,"5'10""",147 lbs,Right Only,25.0,Balanced,Media-friendly,$0,37,37.0,3330.0,180.0,7.37,,,2.0,0.05,16.0,2.0,0.13,0.43,0.05,0.0,0.0,,0.0,1.65,0.0,,8.0,0.22,0.0,,740.0,20.0,550.0,14.86,0.74,0.0,0.0,,0.0,0.0,0.0,,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.1,,0.0,,0.13,0.0,0.0,0.0,,36.0,0.0,0.0,,,,,0.0,72.0,1.95,,49.0,1.0,2.0,0.0,,0.0,,,,,,,,,,,,2.0,84.0,,0.0,0.0,,0.0,2.05,0.04,1.65,0.0,,,,,,,,0.0,,0.0,37.0,,0.04,0.35,0.07,2.58,,0.0,4.0,84.0,4.0,13.0,10.0,2.0,11.0,15.0,11.0,8.0,12.0,2.0,2.0,1.0,10.0,6.0,12.0,13.0,2.0,14.0,13,11.0,3.0,10.0,8.0,3.0,9.0,6.0,1.0,8.0,7.0,9.0,9.0,1.0,8.0,5.0,8.0,7.0,7.0,10.0,12.0,2.0,1.0,9.0,9.0,13.0,10.0,15.0,1.0,13.0,5.83,147
FrA,Isaac Ansah,12087297,GK,Goalkeeper,Defend,Handling,,GK,,,Ghana,-,-,,GHA,,-,"6'0""",167 lbs,Right,25.0,Balanced,Media-friendly,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,5.0,,,,4.0,,10.0,13.0,5.0,9.0,,8.0,,10.0,,6-8,1.0,,,8.0,8.0,,,13.0,,1.0,2.0,,5.0,,,13.0,,,6.0,5.0,8.0,9.0,10.0,5.0,9.0,11.0,,11.0,9.0,6.0,167
,Malick Traoré,12078835,ST (C),Poacher,Attack,Speed,Team Player,ST (C),Onze Créateurs,,Mali (Ligue 1 Orange Mali),-,"$8,250 p/a",2026-07-31,MLI,,-,"6'2""",176 lbs,Left,30.0,,Scouting Required,$18K - $170K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,44.0,23.0,,,,,,,,,,,,,,,,,,6-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,176
,Yassine Tahar,2000273412,M (C),Mezzala,Support,Speed,Athleticism,"DM, M/AM (RC)",AS Aïn M'lila,Paradou AC,Algeria (Ligue 2),-,"$40,500 p/a",2026-06-30,ALG,,-,"5'3""",123 lbs,Right,25.0,,Scouting Required,Unknown,2,2.0,180.0,90.0,8.15,,,1.0,0.5,2.0,1.0,0.5,1.0,0.5,0.0,0.0,,0.0,0.37,0.0,,0.0,,0.0,,40.0,20.0,32.0,16.0,0.8,0.0,0.0,,0.0,0.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.18,,0.0,,0.5,0.0,0.0,0.0,,4.0,0.0,0.0,,,,,0.0,2.0,1.0,,1.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,1.0,64.0,,0.0,0.0,,0.0,1.4,0.18,0.37,0.0,,,,,,,,0.0,,0.0,2.0,,0.18,0.63,0.18,0.37,,0.0,1.0,64.0,1.0,,,,,,,,,,,,,,,,,,3-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,123
,Ropapa Mensah,13192181,AM (R),Inside Forward,Support,Speed,Intelligence,"AM (RL), ST (C)",Sacramento,,U.S.A. (USLC Western Conference),-,"$56,000 p/a",2026-12-31,GHA,,-,"6'0""",171 lbs,Right Only,28.0,,Scouting Required,Unknown,18 (2),18.0,1654.0,82.7,7.16,,,15.0,0.82,70.0,44.0,0.63,3.81,2.39,0.0,0.0,,0.0,7.9,0.0,,4.0,0.22,0.0,,400.0,21.77,230.0,12.52,0.58,0.0,0.0,,0.0,0.0,0.0,,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.11,,0.0,,0.21,0.0,0.0,0.0,,27.0,0.0,0.0,,,,,0.0,23.0,1.25,,29.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,1.0,210.0,,0.0,0.0,,0.0,1.0,0.43,7.9,0.0,,,,,,,,0.0,,0.0,20.0,,0.43,7.1,0.04,0.76,,0.0,70.0,210.0,70.0,,,,,,,,,,,,,,,,,,10-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,171
,Mor Talla Mbaye,12082409,D (L),Wing-Back,Defend,Team Player,Heading,D/WB (L),TP Mazembe,,DR Congo (Vodacom Ligue 1),-,"$33,500 p/a",,SEN,,-,"5'9""",143 lbs,Left Only,27.0,,Scouting Required,$35K - $130K,2,2.0,180.0,90.0,6.85,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,1.0,0.5,1.0,0.5,2.0,1.0,82.0,41.0,67.0,33.5,0.82,5.0,1.0,,0.0,0.0,0.0,,4.0,0.0,0.5,1.0,9.0,18.0,2.5,5.0,7.5,15.0,9.5,9.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,,2.0,0.0,,2.0,1.0,,2.5,0.5,0.0,,0.0,15.5,7.0,3.5,5.0,2.5,0.71,0.0,3.0,1.5,,0.0,0.0,0.0,2.0,1.0,4.0,,,,,,,,,,,,0.0,18.0,,1.5,1.5,,3.0,1.5,0.0,0.0,,,,,,,,,1.0,,1.0,0.0,,0.0,0.0,0.21,0.42,,,,7.0,,,,,,,,,,,,,,,,,,,8-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,143
Ama,Mamadouba Bangoura,13232343,ST (C),Poacher,Attack,Speed,Team Player,ST (C),AS Vita Club,,DR Congo (Vodacom Ligue 1),-,N/A,,GUI,,-,"5'11""",160 lbs,Right,25.0,,Scouting Required,$0,4 (4),4.0,352.0,95.67,6.98,,,3.0,0.77,20.0,10.0,0.5,5.11,2.56,1.0,1.0,,2.0,2.4,1.0,0.37,0.0,,0.0,,79.0,20.2,66.0,16.88,0.84,0.0,0.0,,6.0,0.0,0.0,,2.0,1.02,0.0,0.0,0.0,0.0,0.51,2.0,5.88,23.0,1.02,15.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.44,0.0,0.0,5.37,,1.0,0.12,,1.53,0.26,0.15,0.0,0.0,0.0,1.53,10.0,27.3,51.0,13.04,18.0,4.6,0.35,0.0,2.0,0.51,,3.0,0.0,0.0,5.0,1.28,6.0,,,,,,,,,,,,0.0,84.0,,2.3,0.81,,5.0,3.2,0.61,2.4,174.0,,,,,,,,4.0,,2.0,2.0,,0.61,0.6,0.06,0.25,,0.0,25.0,76.0,30.0,,,,,,,,,,,,,,,,,,12-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92,160
,Evans Osei Wusu,95080984,AM (R),Winger,Support,Athleticism,Intelligence,"AM (RLC), ST (C)",FC Samartex,,Ghana (Premier League),-,"$12,250 p/a",2027-07-31,GHA,,-,"5'7""",143 lbs,Right Only,24.0,Balanced,Media-friendly,$40K,2 (1),2.0,196.0,65.33,6.53,,,1.0,0.46,3.0,2.0,0.67,1.38,0.92,1.0,0.0,,1.0,1.2,0.0,,0.0,,2.0,0.92,73.0,33.52,66.0,30.31,0.9,14.0,0.0,,2.0,0.0,0.0,0.0,7.0,0.46,0.0,0.0,0.46,1.0,1.84,4.0,7.35,16.0,6.43,10.1,0.0,0.0,0.0,0.0,1.84,4.0,0.0,8.27,0.0,0.0,9.64,,0.0,0.4,,0.0,,0.33,6.43,0.0,0.0,0.92,2.0,17.1,20.0,9.18,2.0,0.92,0.1,0.0,5.0,2.3,,2.0,0.0,0.0,1.0,0.46,0.0,,,,,,,,,,,,0.0,77.0,,0.92,1.84,,2.0,1.35,0.18,0.4,141.0,,,,,,,,1.0,,2.0,0.0,,0.55,-0.2,0.01,0.03,,0.0,22.0,72.0,27.0,8.0,9.0,1.0,11.0,9.0,5.0,5.0,13.0,3.0,2.0,1.0,6.0,8.0,12.0,12.0,1.0,10.0,14,6.0,2.0,10.0,7.0,3.0,6.0,5.0,1.0,7.0,8.0,10.0,11.0,3.0,12.0,4.0,9.0,13.0,10.0,9.0,9.0,1.0,4.0,12.0,13.0,11.0,14.0,13.0,4.0,11.0,5.58,143
,Linda Mtange,2000083534,M (C),Central Midfielder,Attack,Speed,Team Player,M/AM (C),Hearts of Oak,,Ghana (Premier League),-,"$10,500 p/a",2027-07-31,COD,,-,"5'5""",125 lbs,Right,22.0,Balanced,Media-friendly,$40K - $375K,5,5.0,415.0,164.5,6.96,,,0.0,,3.0,1.0,0.33,0.65,0.22,0.0,0.0,,0.0,0.19,1.0,0.27,1.0,0.22,3.0,0.65,285.0,61.81,254.0,55.08,0.89,7.0,1.0,,7.0,0.0,0.0,0.25,10.0,0.43,0.0,0.0,8.24,38.0,2.39,11.0,11.06,51.0,8.46,9.11,0.65,3.0,0.22,1.0,1.3,6.0,0.0,0.87,0.22,0.0,7.81,,0.0,0.06,,0.43,,,1.52,0.22,0.0,1.52,2.0,33.9,8.0,1.73,4.0,0.87,0.5,1.0,8.0,1.73,,9.0,2.0,0.0,11.0,2.39,2.0,,,,,,,,,,,,0.0,89.0,,3.27,2.76,,9.0,3.25,0.04,0.19,,,,,,,,,3.0,,1.0,1.0,,0.04,-0.19,0.12,0.55,,,6.0,78.0,6.0,12.0,14.0,1.0,9.0,8.0,8.0,1.0,11.0,1.0,1.0,2.0,8.0,5.0,14.0,10.0,4.0,12.0,15,9.0,3.0,12.0,13.0,1.0,1.0,7.0,2.0,5.0,10.0,13.0,12.0,3.0,8.0,4.0,15.0,4.0,7.0,5.0,11.0,3.0,2.0,2.0,8.0,8.0,13.0,15.0,2.0,13.0,5.42,125
Loa,Francis Awuah,2002091071,D (R),Wing-Back,Defend,Team Player,Heading,D (RC),Berekum Chelsea,,Ghana (Premier League),-,"$6,750 p/a",2026-07-31,GHA,ITA,-,"6'0""",156 lbs,Right,17.0,Low Determination,Media-friendly,$1.5K - $16K,1,1.0,90.0,90.0,6.6,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,53.0,53.0,44.0,44.0,0.83,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,,1.0,0.0,,1.0,1.0,,0.0,0.0,0.0,,0.0,6.8,9.0,9.0,4.0,4.0,0.44,0.0,1.0,1.0,,2.0,0.0,0.0,2.0,2.0,1.0,,,,,,,,,,,,0.0,9.0,,1.0,1.0,,1.0,1.45,0.0,0.0,,,,,,,,,0.0,,0.0,1.0,,0.0,0.0,0.0,0.0,,,,6.0,,10.0,,,9.0,14.0,9.0,6.0,9.0,,,,6.0,1.0,8.0,8.0,,,11,8.0,,,12.0,,6.0,4.0,,,,8.0,,,6.0,4.0,10.0,,,6.0,3.0,,,7.0,13.0,7.0,,7.0,,12.0,6.0,156
Ask,Daouda Koné,12095020,GK,Goalkeeper,Defend,Handling,,GK,Réal Bamako,,Mali (Ligue 1 Orange Mali),-,"$6,500 p/a",,MLI,,-,"6'4""",182 lbs,Right,26.0,Balanced,Media-friendly,$10K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,8.0,7.0,7.0,4.0,8.0,2.0,7.0,7.0,5.0,14.0,13.0,9.0,2.0,11.0,13.0,9.0,3.0,9,3.0,3.0,2.0,10.0,9.0,15.0,1.0,14.0,6.0,1.0,4.0,2.0,5.0,1.0,4.0,14.0,2.0,3.0,11.0,8.0,9.0,13.0,7.0,8.0,10.0,10.0,11.0,12.0,10.0,6.33,182
FrA,Desmond Adamu,14247089,M (C),Ball Winning Midfielder,Defend,Team Player,Marking,"DM, M/AM (C)",,,Ghana,-,-,,GHA,ENG,-,"5'9""",141 lbs,Right,17.0,Casual,Media-friendly,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,11.0,6.0,2.0,9.0,8.0,5.0,4.0,7.0,2.0,1.0,3.0,6.0,1.0,4.0,6.0,2.0,4.0,12,5.0,1.0,3.0,8.0,3.0,7.0,2.0,1.0,2.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,6.0,2.0,5.0,5.0,4.0,1.0,8.0,9.0,6.0,7.0,20.0,3.0,5.0,5.75,141
FrA,Pacôme Zouzoua,12077807,M (C),Deep Lying Playmaker,Support,Intelligence,Marking,"M (C), AM (LC)",,,Ivory Coast,-,-,,CIV,,-,"5'9""",152 lbs,Right Only,28.0,Balanced,Media-friendly,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,38.0,2.0,11.0,14.0,2.0,12.0,13.0,8.0,11.0,11.0,3.0,3.0,3.0,12.0,9.0,12.0,10.0,1.0,11.0,11,7.0,5.0,8.0,9.0,3.0,6.0,5.0,1.0,8.0,13.0,12.0,10.0,2.0,10.0,4.0,14.0,12.0,7.0,12.0,12.0,2.0,1.0,12.0,11.0,11.0,11.0,12.0,1.0,11.0,5.75,152
Loa,Nasri Musa Amoto,2002081680,-,Unknown,Unknown,Unknown,Unknown,D (RC),Legon Cities,,Ghana (Premier League),-,"$6,500 p/a",2026-07-31,GHA,,-,"6'1""",169 lbs,Unknown,20.0,,Scouting Required,Unknown,0 (1),,4.0,4.0,,,,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,2.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,1.0,,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,0.5,1.0,,1.0,,1.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,12.0,,,,,0.0,,,0.0,,,,,,,,,0.0,,1.0,0.0,,,0.0,,0.0,,,,11.0,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.08,169
Yth,Benjamin Adjei,2002162584,D (C),Central Defender,Defend,Speed,Athleticism,D (C),Tamale Utrecht,,Ghana (Ghanaian Academies),-,$250 p/a,2026-10-13,GHA,,-,"6'0""",152 lbs,Right,15.0,Unambitious,Media-friendly,$0,2,2.0,180.0,90.0,6.55,,,0.0,,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.09,0.0,,0.0,,0.0,,95.0,47.5,75.0,37.5,0.79,1.0,0.0,,0.0,0.0,0.0,0.0,9.0,0.5,0.5,1.0,4.5,9.0,4.5,9.0,6.0,12.0,34.0,1.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,6.5,0.5,0.5,3.0,,0.0,0.04,,3.0,,,0.5,0.0,0.0,,3.0,13.7,18.0,9.0,5.0,2.5,0.28,1.0,9.0,4.5,,1.0,1.0,0.0,1.0,0.5,6.0,,,,,,,,,,,,0.0,2.0,,2.0,1.0,,4.0,1.8,0.04,0.09,,,,,,,,,2.0,,0.0,0.0,,0.04,-0.09,0.12,0.24,,,,2.0,,7.0,2.0,4.0,10.0,7.0,9.0,8.0,11.0,3.0,2.0,3.0,9.0,6.0,9.0,8.0,1.0,7.0,3,8.0,4.0,6.0,3.0,1.0,10.0,7.0,2.0,3.0,2.0,5.0,8.0,1.0,3.0,3.0,7.0,3.0,4.0,9.0,7.0,2.0,3.0,9.0,6.0,7.0,8.0,7.0,3.0,9.0,6.0,152
Loa,Nana Kow Andam,2000108734,M (C),Central Midfielder,Attack,Speed,Marking,M (C),Karela FC,,Ghana (Premier League),-,"$6,500 p/a",2026-07-31,GHA,,-,"6'2""",167 lbs,Right,23.0,Balanced,Media-friendly,$0 - $50K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,2.0,11.0,9.0,1.0,10.0,7.0,3.0,5.0,8.0,3.0,2.0,1.0,2.0,1.0,9.0,13.0,1.0,9.0,14,4.0,1.0,10.0,6.0,2.0,14.0,4.0,1.0,4.0,5.0,13.0,3.0,2.0,6.0,3.0,12.0,5.0,4.0,6.0,9.0,2.0,3.0,3.0,4.0,8.0,13.0,9.0,1.0,13.0,6.17,167
Yth,Yusif Seidu,2002162585,AM (L),Winger,Support,Speed,Intelligence,M/AM (L),Awudu Issaka,,Ghana (Ghanaian Academies),-,$250 p/a,2026-10-11,GHA,,-,"5'5""",112 lbs,Left,15.0,Low Determination,Level-headed,$0,2,2.0,180.0,90.0,7.25,,,0.0,,1.0,0.0,0.0,0.5,0.0,0.0,0.0,,1.0,0.05,1.0,0.5,2.0,1.0,2.0,1.0,58.0,29.0,46.0,23.0,0.79,11.0,1.0,,3.0,0.0,0.0,0.09,5.0,0.0,0.0,0.0,2.5,5.0,2.0,4.0,9.0,18.0,5.0,16.0,1.0,2.0,0.5,1.0,5.5,11.0,0.0,2.5,0.0,0.0,9.5,,1.0,0.05,,1.0,0.5,,5.5,0.5,0.0,1.5,8.0,15.6,8.0,4.0,3.0,1.5,0.38,0.0,3.0,1.5,,4.0,1.0,0.0,7.0,3.5,2.0,,,,,,,,,,,,0.0,2.0,,1.0,2.0,,2.0,1.2,0.03,0.05,,,,,,,,,0.0,,2.0,0.0,,0.03,-0.05,0.69,1.37,,,,2.0,,5.0,6.0,2.0,11.0,8.0,3.0,1.0,10.0,2.0,1.0,3.0,2.0,3.0,6.0,9.0,2.0,7.0,5,5.0,2.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,10.0,6.0,7.0,1.0,6.0,3.0,5.0,9.0,4.0,4.0,4.0,1.0,3.0,8.0,7.0,6.0,11.0,12.0,3.0,12.0,5.42,112
FrA,Onismor Bhasera,65000097,AM (L),Wide Target Forward,Support,Speed,Intelligence,D/WB/M/AM (L),,,South Africa,-,-,,ZIM,RSA,-,"5'8""",156 lbs,Left Only,39.0,Balanced,Media-friendly,$0,-,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,507.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,504.0,8.0,9.0,8.0,1.0,12.0,11.0,13.0,11.0,11.0,1.0,2.0,2.0,9.0,6.0,9.0,11.0,1.0,8.0,12,8.0,7.0,8.0,5.0,3.0,9.0,11.0,1.0,6.0,9.0,11.0,5.0,2.0,7.0,3.0,7.0,7.0,5.0,7.0,10.0,1.0,1.0,9.0,10.0,9.0,10.0,14.0,1.0,11.0,5.67,156
Ask,Ali Mohammed,2000273038,D (C),Central Defender,Defend,Speed,Team Player,D (C),Accra Lions FC,,Ghana (Premier League),-,"$6,500 p/a",,GHA,,-,"6'0""",158 lbs,Right,23.0,Balanced,Media-friendly,Unknown,3,3.0,270.0,90.0,6.47,,,0.0,,1.0,0.0,0.0,0.33,0.0,0.0,0.0,,0.0,0.02,0.0,,0.0,,1.0,0.33,150.0,50.0,130.0,43.33,0.87,1.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.33,0.67,2.0,6.0,18.0,0.33,1.0,1.33,4.0,7.67,6.33,0.33,1.0,0.0,0.0,0.33,1.0,0.0,2.33,0.0,0.67,1.67,,3.0,0.02,,0.67,1.0,,0.33,0.0,0.0,,1.0,19.8,14.0,4.67,7.0,2.33,0.5,0.0,2.0,0.67,,0.0,0.0,0.0,0.0,,2.0,,,,,,,,,,,,0.0,111.0,,2.0,1.33,,6.0,1.65,0.01,0.02,,,,,,6.65,0.0,2.0,2.0,,1.0,0.0,,0.01,-0.02,0.01,0.03,,,2.0,109.0,2.0,8.0,,,5.0,7.0,14.0,8.0,6.0,,1.0,,13.0,,8.0,14.0,,,18,15.0,,,10.0,,7.0,13.0,,1.0,,8.0,,,,2.0,13.0,,,7.0,9.0,,,,,5.0,,8.0,,14.0,6.0,158
FrA,Paul Debrah,2002081590,D (C),Central Defender,Stopper,Team Player,Speed,D (LC),,,Ghana,-,-,,GHA,,-,"6'4""",178 lbs,Left,28.0,Unambitious,Volatile,$0,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,12.0,4.0,2.0,3.0,9.0,9.0,6.0,7.0,1.0,1.0,1.0,11.0,1.0,6.0,5.0,3.0,4.0,18,6.0,1.0,3.0,16.0,1.0,12.0,4.0,1.0,1.0,5.0,5.0,1.0,3.0,4.0,1.0,12.0,5.0,2.0,7.0,5.0,3.0,2.0,8.0,4.0,7.0,7.0,10.0,3.0,4.0,6.33,178
Ask,Baba Kushibo,2000133081,M (L),Winger,Support,Speed,Heading,M (L),La Viena,,Egypt (Second Division A),-,"$30,000 p/a",2026-07-31,GHA,,-,"5'8""",145 lbs,Left,27.0,Balanced,Media-friendly,$60K,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,104.0,12.0,9.0,9.0,2.0,10.0,9.0,6.0,4.0,12.0,1.0,2.0,1.0,7.0,3.0,9.0,12.0,4.0,9.0,11,6.0,4.0,6.0,13.0,1.0,3.0,7.0,2.0,4.0,7.0,13.0,7.0,3.0,13.0,1.0,13.0,11.0,6.0,9.0,9.0,2.0,3.0,7.0,9.0,9.0,11.0,8.0,1.0,13.0,5.67,145
Loa,Francis Ansong,2002084767,-,Unknown,Unknown,Unknown,Unknown,AM (RLC),Bechem Utd,,Ghana (Premier League),-,"$6,750 p/a",2027-07-31,GHA,,-,"5'9""",141 lbs,Unknown,17.0,,Scouting Required,Unknown,1,1.0,90.0,90.0,6.2,,,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.2,0.0,,0.0,,1.0,1.0,35.0,35.0,32.0,32.0,0.91,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,8.0,8.0,8.0,9.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,7.0,,0.0,0.2,,1.0,,,1.0,0.0,0.0,3.0,1.0,7.6,7.0,7.0,1.0,1.0,0.14,0.0,,,,2.0,1.0,0.0,2.0,2.0,1.0,,,,,,,,,,,,0.0,18.0,,0.0,3.0,,0.0,1.35,0.2,0.2,,,,,,,,,0.0,,1.0,0.0,,0.2,-0.2,0.06,0.06,,,2.0,16.0,2.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,141
,Jerry Ogu,2000261440,-,Unknown,Unknown,Unknown,Unknown,M (C),Abia Warriors,,Nigeria (NPFL),-,"$7,000 p/a",2028-07-31,NGA,,-,"6'0""",169 lbs,Unknown,20.0,,Scouting Required,Unknown,0 (1),,7.0,7.0,,,1.0,0.0,,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,4.0,,4.0,,1.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,1.0,,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,0.0,1.1,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,,,0.0,70.0,,,,,0.0,,,0.0,,,,,,,,,1.0,,0.0,0.0,,,0.0,,0.0,,,2.0,61.0,3.0,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,169
